"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2011,"ANDR*","BM1",-2.4118858,-2.5602022,-0.7853988,11.59819192,16.77352717,18.55485907,1.379873313,0,3.5733278,1.6409962,23.243791,0,0,1,20.25501443,2.4118858,0.7853988,2.5602022,0.381780236192446,0,0,0,"BM1",2.543496,0.6797123,1.9941661,0.490151554653249,20.48560344,18.39233567,0.863404664,0,3.8538871,1.6366025,25.961112,1,0,0,19.60049128,-0.433739170234417,-0.718834338577303,-0.365324839773097,-0.197695728189311,1,0,0
2012,"ANDR*","BM1",-3.4439065,-2.2047591,-0.8019355,11.73242548,16.6518092,14.79055495,2.123187379,0,3.4089406,1.6402018,19.248355,0,0,1,16.95734715,3.4439065,0.8019355,2.2047591,0.282711254697097,0,0,0,"BM1",2.4118858,0.7853988,2.5602022,0.381780236192446,16.77352717,18.55485907,1.379873313,0,3.5733278,1.6409962,23.243791,1,0,0,20.25501443,-0.506926920066999,-0.664041900514928,-0.311855601240504,-0.274513330182769,1,0,0
2013,"ANDR*","BM1",-3.0998086,-2.3056537,-0.8639019,11.89340737,17.33156801,14.59620189,3.709380329,0,3.2524751,1.6662309,16.194557,0,0,1,16.05180792,3.0998086,0.8639019,2.3056537,0.34647458880655,0,0,0,"BM1",3.4439065,0.8019355,2.2047591,0.282711254697097,16.6518092,14.79055495,2.123187379,0,3.4089406,1.6402018,19.248355,1,0,0,16.95734715,-0.561876145039716,-0.690794661885014,-0.217413557552984,-0.215431299857517,1,0,0
2014,"ANDR*","BM1",-4.0522754,-1.9095391,-0.831857,12.02778848,19.15214439,14.77870665,5.293855238,0,3.2684927,1.6622788,5.071149,0,0,1,17.18328208,4.0522754,0.831857,1.9095391,0.422304205941483,0,0,0,"BM1",3.0998086,0.8639019,2.3056537,0.34647458880655,17.33156801,14.59620189,3.709380329,0,3.2524751,1.6662309,16.194557,1,0,0,16.05180792,-0.576666562387846,-0.686090569104943,-0.263338843897669,-0.140374442628147,1,0,0
2015,"ANDR*","BM1",-4.4075509,-2.2097059,-0.8710035,12.12903148,18.39912005,15.33116517,5.306949258,0,3.0626844,1.6431514,6.791338,0,0,1,20.61911438,4.4075509,0.8710035,2.2097059,0.509644037359455,1,1,0,"BM1",4.0522754,0.831857,1.9095391,0.422304205941483,19.15214439,14.77870665,5.293855238,0,3.2684927,1.6622788,5.071149,1,0,0,17.18328208,-0.490860282891609,-0.725722252557248,-0.312438433397258,-0.14786713436453,1,0,0
2016,"ANDR*","BM1",-3.6726602,-2.1437509,-0.8297604,12.20588142,18.18761853,15.2373196,8.391565573,0,2.9416829,1.7270229,5.127025215,0,0,1,18.12007572,3.6726602,0.8297604,2.1437509,0.334863104672884,1,1,0,"BM1",4.4075509,0.8710035,2.2097059,0.509644037359455,18.39912005,15.33116517,5.306949258,0,3.0626844,1.6431514,6.791338,1,0,0,20.61911438,-0.501824150684119,-0.674311275552686,-0.36401089724195,-0.193796875172541,1,0,0
2017,"ANDR*","BM1",-2.3072158,-1.799249,-0.8024069,12.3153726,19.62752352,16.97502181,12.25108067,0,2.4662231,1.7589179,1.559247965,0,0,1,18.60881135,2.3072158,0.8024069,1.799249,0.315055566313158,1,1,0,"BM1",3.6726602,0.8297604,2.1437509,0.334863104672884,18.18761853,15.2373196,8.391565573,0,2.9416829,1.7270229,5.127025215,1,0,0,18.12007572,-0.550665552694873,-0.608383900792524,-0.466332752338447,-0.0616931277700393,1,0,0
2018,"ANDR*","BM1",-1.7501538,-1.9520335,-0.7678643,12.3974009,22.38537191,16.44396869,17.09328943,0,4.5003135,1.7642054,-30.76435303,0,0,1,19.25611357,1.7501538,0.7678643,1.9520335,0.0330250091693149,1,1,0,"BM1",2.3072158,0.8024069,1.799249,0.315055566313158,19.62752352,16.97502181,12.25108067,0,2.4662231,1.7589179,1.559247965,1,0,0,18.60881135,-0.443207245299348,-0.45982694878953,-0.705579669452377,-0.013360726144445,1,0,0
2019,"ANDR*","BM1",-1.7282964,-2.0381532,-0.7526057,12.42645806,18.93726126,17.78186836,16.21469569,0,8.4574696,1.705805,-23.23378518,0,1,1,20.83921681,1.7282964,0.7526057,2.0381532,0.0808437759108036,1,1,0,"BM1",1.7501538,0.7678643,1.9520335,0.0330250091693149,22.38537191,16.44396869,17.09328943,0,4.5003135,1.7642054,-30.76435303,1,0,0,19.25611357,-0.288879378063486,-0.477028566839168,-0.776262725953748,-0.0134797565571009,1,0,0
2020,"ANDR*","BM1",-7.5843335,-2.253048,-0.7849107,12.40439493,19.94382026,20.59312231,16.06927548,0,11.4148704,1.5213502,-10.42910037,0,1,1,22.06989348,7.5843335,0.7849107,2.253048,0.435140674856566,1,0,1,"BM1",1.7282964,0.7526057,2.0381532,0.0808437759108036,18.93726126,17.78186836,16.21469569,0,8.4574696,1.705805,-23.23378518,1,0,1,20.83921681,-0.289793825741896,-0.0845447882337416,-0.925391420165731,-0.0000138155243734886,1,0,0
